=== Step 4: Candidate 7-Sequences (CS7) (Total: 568) ===

<1,6,7,11,16,29,32>
<1,6,11,12,16,29,32>
<1,7,11,12,16,29,32>
<1,7,11,12,29,30,32>
<1,7,11,16,29,30,32>
<1,7,12,16,29,30,32>
<1,11,12,16,29,30,32>
<1,20,6,11,16,29,32>
<1,20,7,11,16,29,32>
<1,20,7,16,29,30,32>
<1,20,21,5,12,29,32>
<1,20,21,6,11,16,29>
<1,20,21,6,11,16,32>
<1,20,21,6,11,29,32>
<1,20,21,6,16,29,32>
<1,20,21,7,11,29,32>
<1,20,21,7,12,29,32>
<1,20,21,7,16,29,32>
<1,20,21,7,29,30,32>
<1,20,21,11,12,29,32>
<1,20,21,11,16,29,32>
<1,20,21,12,16,29,32>
<1,20,21,12,29,30,32>
<1,20,21,26,7,12,29>
<1,20,21,26,7,12,32>
<1,20,21,26,7,16,29>
<1,20,21,26,7,16,32>
<1,20,21,26,7,29,32>
<1,20,21,26,11,16,29>
<1,20,21,26,11,16,32>
<1,20,21,26,11,29,32>
<1,20,21,26,12,16,29>
<1,20,21,26,12,16,32>
<1,20,21,26,12,29,32>
<1,20,21,26,16,29,32>
<1,20,21,26,29,30,32>
<1,20,21,26,34,7,29>
<1,20,21,26,34,7,32>
<1,20,21,26,34,29,32>
<1,20,21,26,35,29,32>
<1,20,21,34,7,29,32>
<1,20,21,34,11,29,32>
<1,20,21,34,12,29,32>
<1,20,21,34,16,29,32>
<1,20,21,35,12,29,32>
<1,20,26,7,12,29,32>
<1,20,26,7,16,29,32>
<1,20,26,7,29,30,32>
<1,20,26,11,12,29,32>
<1,20,26,11,16,29,32>
<1,20,26,12,16,29,32>
<1,20,26,12,29,30,32>
<1,20,26,34,7,29,32>
<1,20,26,34,11,29,32>
<1,20,26,34,12,29,32>
<1,20,26,34,16,29,32>
<1,20,27,7,16,29,32>
<1,20,34,7,16,29,32>
<1,21,5,7,12,29,32>
<1,21,6,11,16,29,32>
<1,21,7,11,16,29,32>
<1,21,7,12,16,29,32>
<1,21,7,12,29,30,32>
<1,21,7,16,29,30,32>
<1,21,11,12,16,29,32>
<1,21,26,7,12,29,32>
<1,21,26,7,16,29,32>
<1,21,26,7,29,30,32>
<1,21,26,11,12,29,32>
<1,21,26,11,16,29,32>
<1,21,26,12,16,29,32>
<1,21,26,12,29,30,32>
<1,21,26,16,29,30,32>
<1,21,26,34,7,29,32>
<1,21,26,34,11,29,32>
<1,21,26,34,12,29,32>
<1,21,26,34,16,29,32>
<1,21,27,7,16,29,32>
<1,21,34,7,11,29,32>
<1,21,34,7,16,29,32>
<1,21,34,7,29,30,32>
<1,21,34,11,16,29,32>
<1,21,34,35,7,29,32>
<1,26,6,11,16,29,32>
<1,26,34,7,16,29,32>
<1,34,6,7,11,16,29>
<1,34,6,7,11,16,32>
<1,34,6,7,11,29,32>
<1,34,6,7,16,29,32>
<1,34,6,11,12,16,29>
<1,34,6,11,12,16,32>
<1,34,6,11,12,29,32>
<1,34,6,11,16,29,32>
<1,34,6,12,16,29,32>
<1,34,7,11,12,29,32>
<1,34,7,11,16,29,32>
<1,34,7,11,29,30,32>
<1,34,7,12,16,29,32>
<1,34,7,12,29,30,32>
<1,34,7,16,29,30,32>
<1,34,11,12,16,29,32>
<1,34,11,12,29,30,32>
<1,34,11,16,29,30,32>
<1,34,35,7,11,29,32>
